source_pdf,miti_dimension,score,error,condition
should-i-really-be-honest-coded-transcript.pdf,Empathy,4,0,ablation
session2miti.pdf,Partnership,2,0,ablation
overuse-of-directing-coded-transcript.pdf,Partnership,2,0,ablation
should-i-really-be-honest-coded-transcript.pdf,Softening Sustain Talk,3,0,ablation
emmys-first-encounter-coded-transcript.pdf,Softening Sustain Talk,3,0,ablation
maybe-hell-take-my-kids-coded-transcript.pdf,Softening Sustain Talk,3,0,ablation
hawaii-every-month-coded-transcript.pdf,Empathy,2,0,ablation
session2miti.pdf,Empathy,2,0,ablation
session3miti.pdf,Partnership,3,0,ablation
should-i-really-be-honest-coded-transcript.pdf,Partnership,4,0,ablation
hawaii-every-month-coded-transcript.pdf,Softening Sustain Talk,4,0,ablation
have-you-ever-been-a-smoker-coded-transcript.pdf,Empathy,4,0,ablation
overuse-of-directing-coded-transcript.pdf,Cultivating Change Talk,3,0,ablation
hawaii-every-month-coded-transcript.pdf,Partnership,2,0,ablation
session3miti.pdf,Softening Sustain Talk,2,0,ablation
hawaii-every-month-coded-transcript.pdf,Cultivating Change Talk,2,0,ablation
now-i-only-wear-yoga-pants-coded-transcript.pdf,Partnership,4,0,ablation
session3miti.pdf,Cultivating Change Talk,3,0,ablation
now-i-only-wear-yoga-pants-coded-transcript.pdf,Empathy,4,0,ablation
session3miti.pdf,Empathy,2,0,ablation
rounder-miti-4-coded-transcript.pdf,Cultivating Change Talk,2,0,ablation
rounder-miti-4-coded-transcript.pdf,Softening Sustain Talk,2,0,ablation
session4miti.pdf,Cultivating Change Talk,3,0,ablation
overuse-of-directing-coded-transcript.pdf,Empathy,2,0,ablation
session2miti.pdf,Softening Sustain Talk,2,0,ablation
rounder-miti-4-coded-transcript.pdf,Partnership,2,0,ablation
rounder-miti-4-coded-transcript.pdf,Empathy,3,0,ablation
i-guess-i-dont-have-a-choice-coded-transcript.pdf,Partnership,2,0,ablation
i-guess-i-dont-have-a-choice-coded-transcript.pdf,Cultivating Change Talk,2,0,ablation
maybe-hell-take-my-kids-coded-transcript.pdf,Cultivating Change Talk,3,0,ablation
emmys-first-encounter-coded-transcript.pdf,Cultivating Change Talk,3,0,ablation
session4miti.pdf,Partnership,2,0,ablation
i-guess-i-dont-have-a-choice-coded-transcript.pdf,Empathy,2,0,ablation
i-guess-i-dont-have-a-choice-coded-transcript.pdf,Softening Sustain Talk,4,0,ablation
session4miti.pdf,Empathy,2,0,ablation
session1miti.pdf,Cultivating Change Talk,3,0,ablation
session5miti.pdf,Cultivating Change Talk,3,0,ablation
maybe-hell-take-my-kids-coded-transcript.pdf,Partnership,2,0,ablation
emmys-first-encounter-coded-transcript.pdf,Partnership,4,0,ablation
session4miti.pdf,Softening Sustain Talk,2,0,ablation
session1miti.pdf,Softening Sustain Talk,4,0,ablation
maybe-hell-take-my-kids-coded-transcript.pdf,Empathy,3,0,ablation
session5miti.pdf,Softening Sustain Talk,3,0,ablation
session5miti.pdf,Partnership,2,0,ablation
session1miti.pdf,Empathy,3,0,ablation
have-you-ever-been-a-smoker-coded-transcript.pdf,Cultivating Change Talk,3,0,ablation
session1miti.pdf,Partnership,3,0,ablation
session5miti.pdf,Empathy,2,0,ablation
emmys-first-encounter-coded-transcript.pdf,Empathy,3,0,ablation
have-you-ever-been-a-smoker-coded-transcript.pdf,Softening Sustain Talk,2,0,ablation
now-i-only-wear-yoga-pants-coded-transcript.pdf,Softening Sustain Talk,4,0,ablation
session2miti.pdf,Cultivating Change Talk,3,0,ablation
now-i-only-wear-yoga-pants-coded-transcript.pdf,Cultivating Change Talk,4,0,ablation
should-i-really-be-honest-coded-transcript.pdf,Cultivating Change Talk,2,0,ablation
have-you-ever-been-a-smoker-coded-transcript.pdf,Partnership,4,0,ablation
overuse-of-directing-coded-transcript.pdf,Softening Sustain Talk,3,0,ablation
