source_pdf,miti_dimension,score,error,condition
session3miti.pdf,Cultivating Change Talk,1,0,model_swap
overuse-of-directing-coded-transcript.pdf,Cultivating Change Talk,1,0,model_swap
overuse-of-directing-coded-transcript.pdf,Partnership,1,0,model_swap
hawaii-every-month-coded-transcript.pdf,Empathy,2,0,model_swap
hawaii-every-month-coded-transcript.pdf,Cultivating Change Talk,1,0,model_swap
should-i-really-be-honest-coded-transcript.pdf,Empathy,4,0,model_swap
session2miti.pdf,Empathy,2,0,model_swap
hawaii-every-month-coded-transcript.pdf,Partnership,2,0,model_swap
maybe-hell-take-my-kids-coded-transcript.pdf,Softening Sustain Talk,2,0,model_swap
overuse-of-directing-coded-transcript.pdf,Softening Sustain Talk,4,0,model_swap
now-i-only-wear-yoga-pants-coded-transcript.pdf,Empathy,4,0,model_swap
emmys-first-encounter-coded-transcript.pdf,Softening Sustain Talk,4,0,model_swap
session2miti.pdf,Partnership,1,0,model_swap
have-you-ever-been-a-smoker-coded-transcript.pdf,Empathy,4,0,model_swap
session3miti.pdf,Softening Sustain Talk,2,0,model_swap
now-i-only-wear-yoga-pants-coded-transcript.pdf,Partnership,4,0,model_swap
session3miti.pdf,Partnership,4,0,model_swap
hawaii-every-month-coded-transcript.pdf,Softening Sustain Talk,4,0,model_swap
should-i-really-be-honest-coded-transcript.pdf,Softening Sustain Talk,2,0,model_swap
should-i-really-be-honest-coded-transcript.pdf,Partnership,4,0,model_swap
rounder-miti-4-coded-transcript.pdf,Cultivating Change Talk,1,0,model_swap
i-guess-i-dont-have-a-choice-coded-transcript.pdf,Partnership,1,0,model_swap
i-guess-i-dont-have-a-choice-coded-transcript.pdf,Cultivating Change Talk,1,0,model_swap
overuse-of-directing-coded-transcript.pdf,Empathy,2,0,model_swap
session2miti.pdf,Softening Sustain Talk,1,0,model_swap
rounder-miti-4-coded-transcript.pdf,Empathy,4,0,model_swap
session3miti.pdf,Empathy,4,0,model_swap
emmys-first-encounter-coded-transcript.pdf,Cultivating Change Talk,1,0,model_swap
rounder-miti-4-coded-transcript.pdf,Partnership,4,0,model_swap
i-guess-i-dont-have-a-choice-coded-transcript.pdf,Softening Sustain Talk,1,0,model_swap
i-guess-i-dont-have-a-choice-coded-transcript.pdf,Empathy,1,0,model_swap
session4miti.pdf,Empathy,3,0,model_swap
session4miti.pdf,Partnership,3,0,model_swap
rounder-miti-4-coded-transcript.pdf,Softening Sustain Talk,1,0,model_swap
session4miti.pdf,Cultivating Change Talk,1,0,model_swap
maybe-hell-take-my-kids-coded-transcript.pdf,Cultivating Change Talk,1,0,model_swap
session1miti.pdf,Cultivating Change Talk,1,0,model_swap
session5miti.pdf,Cultivating Change Talk,1,0,model_swap
emmys-first-encounter-coded-transcript.pdf,Partnership,4,0,model_swap
session1miti.pdf,Softening Sustain Talk,2,0,model_swap
maybe-hell-take-my-kids-coded-transcript.pdf,Partnership,3,0,model_swap
emmys-first-encounter-coded-transcript.pdf,Empathy,4,0,model_swap
session4miti.pdf,Softening Sustain Talk,2,0,model_swap
session5miti.pdf,Partnership,1,0,model_swap
now-i-only-wear-yoga-pants-coded-transcript.pdf,Cultivating Change Talk,1,0,model_swap
session2miti.pdf,Cultivating Change Talk,1,0,model_swap
session5miti.pdf,Softening Sustain Talk,1,0,model_swap
session1miti.pdf,Partnership,3,0,model_swap
should-i-really-be-honest-coded-transcript.pdf,Cultivating Change Talk,1,0,model_swap
session1miti.pdf,Empathy,2,0,model_swap
session5miti.pdf,Empathy,2,0,model_swap
have-you-ever-been-a-smoker-coded-transcript.pdf,Cultivating Change Talk,2,0,model_swap
have-you-ever-been-a-smoker-coded-transcript.pdf,Partnership,4,0,model_swap
have-you-ever-been-a-smoker-coded-transcript.pdf,Softening Sustain Talk,1,0,model_swap
now-i-only-wear-yoga-pants-coded-transcript.pdf,Softening Sustain Talk,4,0,model_swap
maybe-hell-take-my-kids-coded-transcript.pdf,Empathy,3,0,model_swap
