session_id,miti_dimension,score,error
MI-MAINEXP-88040440,Empathy,4,0
MI-MAINEXP-41451249,Empathy,4,0
MI-MAINEXP-88054840,Cultivating Change Talk,2,0
MI-MAINEXP-91154645,Softening Sustain Talk,4,0
MI-MAINEXP-39261849,Partnership,3,0
MI-MAINEXP-91154645,Cultivating Change Talk,2,0
MI-MAINEXP-39261849,Softening Sustain Talk,4,0
MI-MAINEXP-39261849,Empathy,4,0
MI-MAINEXP-41487824,Cultivating Change Talk,2,0
MI-MAINEXP-39360483,Cultivating Change Talk,2,0
MI-MAINEXP-91154645,Partnership,4,0
MI-MAINEXP-88054840,Softening Sustain Talk,4,0
MI-MAINEXP-41487824,Softening Sustain Talk,4,0
MI-MAINEXP-91154645,Empathy,4,0
MI-MAINEXP-88054840,Partnership,4,0
MI-MAINEXP-41487824,Partnership,4,0
MI-MAINEXP-39360483,Softening Sustain Talk,4,0
MI-MAINEXP-88054840,Empathy,4,0
MI-MAINEXP-41487824,Empathy,3,0
MI-MAINEXP-39360483,Partnership,4,0
MI-MAINEXP-91211989,Cultivating Change Talk,2,0
MI-MAINEXP-88138410,Cultivating Change Talk,1,0
MI-MAINEXP-39360483,Empathy,3,0
MI-MAINEXP-91211989,Partnership,4,0
MI-MAINEXP-88138410,Softening Sustain Talk,4,0
MI-MAINEXP-91211989,Softening Sustain Talk,4,0
MI-MAINEXP-41451249,Partnership,3,0
MI-MAINEXP-39504670,Cultivating Change Talk,2,0
MI-MAINEXP-41624974,Cultivating Change Talk,2,0
MI-MAINEXP-41624974,Softening Sustain Talk,4,0
MI-MAINEXP-88138410,Partnership,4,0
MI-MAINEXP-88138410,Empathy,4,0
MI-MAINEXP-41624974,Partnership,4,0
MI-MAINEXP-91211989,Empathy,4,0
MI-MAINEXP-91230617,Cultivating Change Talk,2,0
MI-MAINEXP-39504670,Softening Sustain Talk,4,0
MI-MAINEXP-41624974,Empathy,3,0
MI-MAINEXP-39504670,Partnership,3,0
MI-MAINEXP-41627988,Cultivating Change Talk,2,0
MI-MAINEXP-88318293,Cultivating Change Talk,2,0
MI-MAINEXP-91230617,Softening Sustain Talk,4,0
MI-MAINEXP-91230617,Partnership,3,0
MI-MAINEXP-41627988,Softening Sustain Talk,4,0
MI-MAINEXP-39504670,Empathy,3,0
MI-MAINEXP-39580755,Cultivating Change Talk,2,0
MI-MAINEXP-88318293,Softening Sustain Talk,4,0
MI-MAINEXP-88318293,Partnership,4,0
MI-MAINEXP-91230617,Empathy,3,0
MI-MAINEXP-88318293,Empathy,4,0
MI-MAINEXP-41627988,Partnership,4,0
MI-MAINEXP-39580755,Softening Sustain Talk,4,0
MI-MAINEXP-9125275,Cultivating Change Talk,2,0
MI-MAINEXP-41627988,Empathy,4,0
MI-MAINEXP-39580755,Partnership,4,0
MI-MAINEXP-9125275,Softening Sustain Talk,4,0
MI-MAINEXP-39580755,Empathy,4,0
MI-MAINEXP-9125275,Partnership,3,0
MI-MAINEXP-39653582,Cultivating Change Talk,2,0
MI-MAINEXP-88377214,Softening Sustain Talk,4,0
MI-MAINEXP-41827981,Cultivating Change Talk,1,0
MI-MAINEXP-88377214,Partnership,4,0
MI-MAINEXP-41827981,Softening Sustain Talk,4,0
MI-MAINEXP-9125275,Empathy,4,0
MI-MAINEXP-88377214,Cultivating Change Talk,1,0
MI-MAINEXP-39653582,Softening Sustain Talk,4,0
MI-MAINEXP-88377214,Empathy,4,0
MI-MAINEXP-41827981,Partnership,4,0
MI-MAINEXP-41827981,Empathy,2,0
MI-MAINEXP-91543850,Cultivating Change Talk,2,0
MI-MAINEXP-39653582,Partnership,4,0
MI-MAINEXP-88415254,Cultivating Change Talk,2,0
MI-MAINEXP-39653582,Empathy,4,0
MI-MAINEXP-91543850,Softening Sustain Talk,4,0
MI-MAINEXP-4184534,Cultivating Change Talk,2,0
MI-MAINEXP-91543850,Partnership,4,0
MI-MAINEXP-39826169,Cultivating Change Talk,2,0
MI-MAINEXP-88415254,Partnership,3,0
MI-MAINEXP-88415254,Softening Sustain Talk,4,0
MI-MAINEXP-4184534,Softening Sustain Talk,4,0
MI-MAINEXP-91543850,Empathy,4,0
MI-MAINEXP-4184534,Partnership,4,0
MI-MAINEXP-88415254,Empathy,3,0
MI-MAINEXP-4184534,Empathy,4,0
MI-MAINEXP-39826169,Softening Sustain Talk,4,0
MI-MAINEXP-39826169,Partnership,3,0
MI-MAINEXP-91835125,Cultivating Change Talk,2,0
MI-MAINEXP-91835125,Softening Sustain Talk,4,0
MI-MAINEXP-39826169,Empathy,4,0
MI-MAINEXP-88622865,Cultivating Change Talk,2,0
MI-MAINEXP-91835125,Partnership,4,0
MI-MAINEXP-3986744,Cultivating Change Talk,2,0
MI-MAINEXP-41901964,Cultivating Change Talk,2,0
MI-MAINEXP-88622865,Softening Sustain Talk,4,0
MI-MAINEXP-91835125,Empathy,4,0
MI-MAINEXP-41901964,Softening Sustain Talk,4,0
MI-MAINEXP-88622865,Partnership,4,0
MI-MAINEXP-88622865,Empathy,3,0
MI-MAINEXP-41901964,Partnership,3,0
MI-MAINEXP-91889529,Cultivating Change Talk,2,0
MI-MAINEXP-3986744,Partnership,4,0
MI-MAINEXP-41901964,Empathy,4,0
MI-MAINEXP-88966888,Cultivating Change Talk,2,0
MI-MAINEXP-3986744,Empathy,3,0
MI-MAINEXP-42176903,Cultivating Change Talk,2,0
MI-MAINEXP-91889529,Softening Sustain Talk,4,0
MI-MAINEXP-91889529,Partnership,3,0
MI-MAINEXP-39953192,Cultivating Change Talk,2,0
MI-MAINEXP-88966888,Partnership,3,0
MI-MAINEXP-91889529,Empathy,3,0
MI-MAINEXP-88966888,Softening Sustain Talk,4,0
MI-MAINEXP-42176903,Softening Sustain Talk,4,0
MI-MAINEXP-42176903,Partnership,4,0
MI-MAINEXP-88966888,Empathy,4,0
MI-MAINEXP-39953192,Softening Sustain Talk,4,0
MI-MAINEXP-42176903,Empathy,4,0
MI-MAINEXP-91949373,Cultivating Change Talk,3,0
MI-MAINEXP-39953192,Partnership,4,0
MI-MAINEXP-89055274,Cultivating Change Talk,1,0
MI-MAINEXP-91949373,Softening Sustain Talk,4,0
MI-MAINEXP-39953192,Empathy,4,0
MI-MAINEXP-10056661,Cultivating Change Talk,2,0
MI-MAINEXP-91949373,Partnership,4,0
MI-MAINEXP-4256717,Cultivating Change Talk,2,0
MI-MAINEXP-89055274,Softening Sustain Talk,4,0
MI-MAINEXP-3986744,Softening Sustain Talk,4,0
MI-MAINEXP-37449196,Cultivating Change Talk,2,0
MI-MAINEXP-17125724,Softening Sustain Talk,4,0
MI-MAINEXP-60168523,Cultivating Change Talk,2,0
MI-MAINEXP-62334696,Cultivating Change Talk,2,0
MI-MAINEXP-17125724,Partnership,3,0
MI-MAINEXP-37449196,Partnership,4,0
MI-MAINEXP-62334696,Partnership,4,0
MI-MAINEXP-17125724,Empathy,3,0
MI-MAINEXP-37449196,Softening Sustain Talk,4,0
MI-MAINEXP-62334696,Softening Sustain Talk,4,0
MI-MAINEXP-17285331,Cultivating Change Talk,2,0
MI-MAINEXP-37449196,Empathy,4,0
MI-MAINEXP-37532851,Cultivating Change Talk,2,0
MI-MAINEXP-17285331,Partnership,3,0
MI-MAINEXP-62361872,Cultivating Change Talk,2,0
MI-MAINEXP-10056661,Softening Sustain Talk,4,0
MI-MAINEXP-17285331,Softening Sustain Talk,4,0
MI-MAINEXP-10056661,Partnership,4,0
