topic_id,user_id_raw,T,treatment,topic_label
0,57737929,2,Ambivalence,Balancing Connection and Social Media Use
0,57737929,2,Ambivalence,Balancing Connection and Social Media Use
0,57737929,2,Ambivalence,Balancing Connection and Social Media Use
-1,57737929,2,Ambivalence,Struggling to Regulate Social Media Use
0,57737929,2,Ambivalence,Balancing Connection and Social Media Use
-1,57737929,2,Ambivalence,Struggling to Regulate Social Media Use
12,57737929,2,Ambivalence,Explicit Confirmation of Accuracy
0,57737929,2,Ambivalence,Balancing Connection and Social Media Use
3,57737929,2,Ambivalence,Confidence in Changing Social Media Use
0,57737929,2,Ambivalence,Balancing Connection and Social Media Use
3,57737929,2,Ambivalence,Confidence in Changing Social Media Use
6,57737929,2,Ambivalence,Challenges in Changing Social Media Habits
2,57737929,2,Ambivalence,Social Media Impact on Energy and Productivity
11,69358937,2,Ambivalence,Negative Content and Ad Intrusion
0,69358937,2,Ambivalence,Balancing Connection and Social Media Use
0,69358937,2,Ambivalence,Balancing Connection and Social Media Use
11,69358937,2,Ambivalence,Negative Content and Ad Intrusion
11,69358937,2,Ambivalence,Negative Content and Ad Intrusion
11,69358937,2,Ambivalence,Negative Content and Ad Intrusion
7,69358937,2,Ambivalence,Unproductive and Prolonged Scrolling
1,69358937,2,Ambivalence,Physical Strategies to Limit Phone Use
0,69358937,2,Ambivalence,Balancing Connection and Social Media Use
3,69358937,2,Ambivalence,Confidence in Changing Social Media Use
8,69358937,2,Ambivalence,Self-Confidence in Behavior Change
-1,69358937,2,Ambivalence,Struggling to Regulate Social Media Use
9,69358937,2,Ambivalence,Challenges in Sustaining Personal Change
1,69358937,2,Ambivalence,Physical Strategies to Limit Phone Use
23,69358937,2,Ambivalence,Intentional Limited Social Media Checking
-1,69358937,2,Ambivalence,Struggling to Regulate Social Media Use
-1,62395546,2,Ambivalence,Struggling to Regulate Social Media Use
-1,62395546,2,Ambivalence,Struggling to Regulate Social Media Use
0,62395546,2,Ambivalence,Balancing Connection and Social Media Use
0,62395546,2,Ambivalence,Balancing Connection and Social Media Use
-1,62395546,2,Ambivalence,Struggling to Regulate Social Media Use
-1,62395546,2,Ambivalence,Struggling to Regulate Social Media Use
16,62395546,2,Ambivalence,Agreement with Summary Statements
3,62395546,2,Ambivalence,Confidence in Changing Social Media Use
-1,62395546,2,Ambivalence,Struggling to Regulate Social Media Use
-1,62395546,2,Ambivalence,Struggling to Regulate Social Media Use
-1,62395546,2,Ambivalence,Struggling to Regulate Social Media Use
3,62395546,2,Ambivalence,Confidence in Changing Social Media Use
3,62395546,2,Ambivalence,Confidence in Changing Social Media Use
3,62395546,2,Ambivalence,Confidence in Changing Social Media Use
-1,62395546,2,Ambivalence,Struggling to Regulate Social Media Use
-1,62395546,2,Ambivalence,Struggling to Regulate Social Media Use
-1,62395546,2,Ambivalence,Struggling to Regulate Social Media Use
-1,62395546,2,Ambivalence,Struggling to Regulate Social Media Use
-1,8396731,2,Ambivalence,Struggling to Regulate Social Media Use
0,8396731,2,Ambivalence,Balancing Connection and Social Media Use
0,8396731,2,Ambivalence,Balancing Connection and Social Media Use
-1,8396731,2,Ambivalence,Struggling to Regulate Social Media Use
-1,8396731,2,Ambivalence,Struggling to Regulate Social Media Use
2,8396731,2,Ambivalence,Social Media Impact on Energy and Productivity
16,8396731,2,Ambivalence,Agreement with Summary Statements
0,8396731,2,Ambivalence,Balancing Connection and Social Media Use
2,8396731,2,Ambivalence,Social Media Impact on Energy and Productivity
-1,8396731,2,Ambivalence,Struggling to Regulate Social Media Use
8,8396731,2,Ambivalence,Self-Confidence in Behavior Change
6,8396731,2,Ambivalence,Challenges in Changing Social Media Habits
-1,8396731,2,Ambivalence,Struggling to Regulate Social Media Use
17,8396731,2,Ambivalence,No Specific Thoughts or Ideas
10,8396731,2,Ambivalence,App and Notification Use Management
0,8396731,2,Ambivalence,Balancing Connection and Social Media Use
0,43856286,2,Ambivalence,Balancing Connection and Social Media Use
0,43856286,2,Ambivalence,Balancing Connection and Social Media Use
0,43856286,2,Ambivalence,Balancing Connection and Social Media Use
-1,43856286,2,Ambivalence,Struggling to Regulate Social Media Use
0,43856286,2,Ambivalence,Balancing Connection and Social Media Use
2,43856286,2,Ambivalence,Social Media Impact on Energy and Productivity
16,43856286,2,Ambivalence,Agreement with Summary Statements
-1,43856286,2,Ambivalence,Struggling to Regulate Social Media Use
3,43856286,2,Ambivalence,Confidence in Changing Social Media Use
0,43856286,2,Ambivalence,Balancing Connection and Social Media Use
0,43856286,2,Ambivalence,Balancing Connection and Social Media Use
0,43856286,2,Ambivalence,Balancing Connection and Social Media Use
9,43856286,2,Ambivalence,Challenges in Sustaining Personal Change
-1,43856286,2,Ambivalence,Struggling to Regulate Social Media Use
-1,43856286,2,Ambivalence,Struggling to Regulate Social Media Use
-1,43856286,2,Ambivalence,Struggling to Regulate Social Media Use
1,27774790,2,Ambivalence,Physical Strategies to Limit Phone Use
-1,27774790,2,Ambivalence,Struggling to Regulate Social Media Use
0,27774790,2,Ambivalence,Balancing Connection and Social Media Use
2,27774790,2,Ambivalence,Social Media Impact on Energy and Productivity
-1,27774790,2,Ambivalence,Struggling to Regulate Social Media Use
-1,27774790,2,Ambivalence,Struggling to Regulate Social Media Use
1,27774790,2,Ambivalence,Physical Strategies to Limit Phone Use
2,27774790,2,Ambivalence,Social Media Impact on Energy and Productivity
4,27774790,2,Ambivalence,Improving Focus and Productivity
-1,27774790,2,Ambivalence,Struggling to Regulate Social Media Use
9,27774790,2,Ambivalence,Challenges in Sustaining Personal Change
-1,27774790,2,Ambivalence,Struggling to Regulate Social Media Use
5,27774790,2,Ambivalence,Daily Timing of Social Media Use
6,27774790,2,Ambivalence,Challenges in Changing Social Media Habits
-1,88172034,3,Direct persuasion,Struggling to Regulate Social Media Use
5,88172034,3,Direct persuasion,Daily Timing of Social Media Use
-1,88172034,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,88172034,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,88172034,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,88172034,3,Direct persuasion,Struggling to Regulate Social Media Use
3,88172034,3,Direct persuasion,Confidence in Changing Social Media Use
-1,88172034,3,Direct persuasion,Struggling to Regulate Social Media Use
-1,88172034,3,Direct persuasion,Struggling to Regulate Social Media Use
21,88172034,3,Direct persuasion,Reliance on Personal Willpower
-1,88172034,3,Direct persuasion,Struggling to Regulate Social Media Use
0,68884239,2,Ambivalence,Balancing Connection and Social Media Use
0,68884239,2,Ambivalence,Balancing Connection and Social Media Use
-1,68884239,2,Ambivalence,Struggling to Regulate Social Media Use
7,68884239,2,Ambivalence,Unproductive and Prolonged Scrolling
0,68884239,2,Ambivalence,Balancing Connection and Social Media Use
7,68884239,2,Ambivalence,Unproductive and Prolonged Scrolling
0,68884239,2,Ambivalence,Balancing Connection and Social Media Use
0,68884239,2,Ambivalence,Balancing Connection and Social Media Use
0,68884239,2,Ambivalence,Balancing Connection and Social Media Use
-1,68884239,2,Ambivalence,Struggling to Regulate Social Media Use
8,68884239,2,Ambivalence,Self-Confidence in Behavior Change
-1,68884239,2,Ambivalence,Struggling to Regulate Social Media Use
9,68884239,2,Ambivalence,Challenges in Sustaining Personal Change
10,68884239,2,Ambivalence,App and Notification Use Management
0,68884239,2,Ambivalence,Balancing Connection and Social Media Use
-1,68884239,2,Ambivalence,Struggling to Regulate Social Media Use
-1,32489284,2,Ambivalence,Struggling to Regulate Social Media Use
0,32489284,2,Ambivalence,Balancing Connection and Social Media Use
0,32489284,2,Ambivalence,Balancing Connection and Social Media Use
2,32489284,2,Ambivalence,Social Media Impact on Energy and Productivity
-1,32489284,2,Ambivalence,Struggling to Regulate Social Media Use
2,32489284,2,Ambivalence,Social Media Impact on Energy and Productivity
-1,32489284,2,Ambivalence,Struggling to Regulate Social Media Use
0,32489284,2,Ambivalence,Balancing Connection and Social Media Use
0,32489284,2,Ambivalence,Balancing Connection and Social Media Use
-1,32489284,2,Ambivalence,Struggling to Regulate Social Media Use
-1,32489284,2,Ambivalence,Struggling to Regulate Social Media Use
8,32489284,2,Ambivalence,Self-Confidence in Behavior Change
9,32489284,2,Ambivalence,Challenges in Sustaining Personal Change
-1,32489284,2,Ambivalence,Struggling to Regulate Social Media Use
-1,32489284,2,Ambivalence,Struggling to Regulate Social Media Use
0,32489284,2,Ambivalence,Balancing Connection and Social Media Use
