arm,ngram,term,delta,z,freq_in_arm
TIME_USE,2,your day,1.734186478050173,73.76214589216188,4106.0
TIME_USE,2,you spend,1.7920536998667629,55.368498132154386,2248.0
TIME_USE,2,your time,1.2425807642545106,45.924095327670145,2433.0
TIME_USE,2,spend your,4.956738469432384,44.839238697803985,2702.0
TIME_USE,2,the morning,2.19807906222864,42.91722985005822,1160.0
TIME_USE,2,wind down,3.087986973593674,40.94441968895375,1051.0
TIME_USE,2,this interview,2.146429417446276,40.20788374455841,1032.0
TIME_USE,2,you start,2.9363449153240833,39.3057491891522,946.0
TIME_USE,2,before bed,2.071207395413918,38.36629268842042,961.0
TIME_USE,2,ready to,2.2037574197145737,36.52927124243739,840.0
TIME_USE,2,the day,1.6431016247110737,35.00170770362935,986.0
TIME_USE,2,you're ready,2.2703357318308424,34.920709705332975,757.0
TIME_USE,2,on weekends,4.382596658310458,34.6856057484006,1200.0
TIME_USE,2,you usually,5.711053127572923,34.083827990393154,2463.0
TIME_USE,2,your evenings,1.7126176745203647,33.65581629888575,872.0
TIME_USE,2,rely on,1.7509051501259505,33.02726947982774,821.0
TIME_USE,2,evenings and,2.093311531740559,32.776527776348765,697.0
TIME_USE,2,waking up,3.77357780783975,32.31803918526657,799.0
TIME_USE,2,to day,1.4035763018242804,32.1713293479101,1010.0
TIME_USE,2,add or,2.675504025298938,31.59851522439082,600.0
TIME_USE,2,day to,1.3534079114480662,31.48643242814573,1016.0
TIME_USE,2,to learn,3.7912768867168865,30.399921251937432,712.0
TIME_USE,2,time could,3.883037016397024,29.667891255576563,703.0
TIME_USE,2,your days,2.911856341276886,29.66561667057986,538.0
TIME_USE,2,days to,3.807242591153754,29.44082157791904,672.0
TIME_USE,2,compared to,3.966773807053253,28.42495233949424,668.0
TIME_USE,2,biggest difference,1.6822318595701695,28.10394512958221,620.0
TIME_USE,2,practical steps,4.207241833791226,27.535380863591673,697.0
TIME_USE,2,wake up,2.5663251048155633,27.136920581849715,443.0
TIME_USE,2,your routines,5.646255123475271,27.044734668996107,1495.0
TIME_USE,1,day,1.0983001558800058,71.93901933537114,7430.0
TIME_USE,1,usually,3.904804336905798,70.33598082564002,4296.0
TIME_USE,1,spend,1.9466954571534671,69.85149598710845,3525.0
TIME_USE,1,morning,2.3785192259166497,68.15323480409309,3024.0
TIME_USE,1,routines,2.6281091150151763,63.064018303678715,2564.0
TIME_USE,1,bed,1.8376067527054207,53.22514082800337,2156.0
TIME_USE,1,ready,2.5132798631237456,50.54199422129263,1656.0
TIME_USE,1,days,2.4165449828193104,49.59704138232216,1605.0
TIME_USE,1,routine,2.158090067747912,49.18037119335775,1646.0
TIME_USE,1,start,1.794196050697808,47.50408240675915,1757.0
TIME_USE,1,weekends,3.771740599726483,46.01125610152981,1769.0
TIME_USE,1,until,2.8611430333993138,43.13499884776497,1226.0
TIME_USE,1,early,3.431096175833032,42.47220365322106,1343.0
TIME_USE,1,afternoon,3.2830381140433698,41.864133091995086,1252.0
TIME_USE,1,late,1.8345176691025105,40.88958577224779,1278.0
TIME_USE,1,wind,2.9654180890941095,39.67647624114854,1053.0
TIME_USE,1,dinner,2.5481532311001445,38.66365952970288,971.0
TIME_USE,1,tv,2.7786124578994293,38.52188363616806,971.0
TIME_USE,1,mostly,1.8050755981889657,37.37584590858376,1084.0
