user_id_raw,T
61079051,0
90500087,3
47586770,3
18420716,0
86113900,0
39299191,2
78832977,1
59798525,0
84479039,2
90877943,3
24621209,2
95018187,0
33246912,3
11799545,0
25738540,2
67029227,1
61604427,1
2041438,1
71012130,2
53785978,2
68919971,3
4926431,2
73787448,1
34564594,3
99725930,3
11965241,0
49516810,2
69935489,1
45741223,1
47432401,1
60089602,0
70205637,3
95619025,0
52366006,3
16956222,0
82819439,3
95531422,0
93880277,0
41700157,1
87089209,2
62235773,1
17016195,3
71593717,0
15934284,1
45213242,0
96899331,2
24073592,0
16201229,0
76455616,1
91911845,2
63905393,3
13196760,1
75343273,1
27248664,3
76408922,2
62986822,0
10895598,3
31547379,3
87093714,0
79511870,1
48568070,2
34355177,0
89172838,2
5412457,2
32085500,1
99232563,0
28386505,1
7113383,2
87376491,1
48589688,0
66844870,1
15014386,0
70718506,1
20939203,2
86617461,3
93195554,1
25300174,3
97801637,3
80038969,1
43340022,1
70357434,2
2102010,0
38910290,1
84945319,3
30226184,2
84419569,1
31218985,0
9399834,3
33908285,0
44648579,3
18501520,0
71429386,3
63832372,0
99861828,2
18890216,0
98702811,1
8052091,2
63182836,3
47806422,2
82382382,1
75340530,2
63716026,2
59734126,3
96071409,0
83912433,1
67670878,3
37591486,0
89587096,0
18262974,1
47753200,1
28874009,1
77829110,3
61368173,2
37882335,2
28941069,2
15060880,0
89036267,1
89897268,3
21202731,3
64038485,0
23398424,1
74939272,3
96729000,2
32402932,2
84250892,2
84987978,2
55465565,2
43280925,1
12729718,2
59292319,1
98283318,3
62855884,3
8710251,0
8281137,3
23299390,2
64955510,3
32277027,3
52520973,1
5597520,3
48587745,1
37936336,1
55814604,2
25404911,1
16921776,3
68024721,3
56955631,1
20397977,2
55751506,3
42167271,3
79796109,1
44156368,1
70066492,0
20179369,0
18844011,0
38047749,1
2837871,1
34602935,0
62074140,2
90606633,2
1936312,0
92732107,0
10724474,3
92046265,2
15302384,2
1406048,3
56935924,0
6635117,2
73364606,3
