user_id_raw,T,number_positive_aspects,number_negative_aspects
1149265,Ambivalence,4,4
1185451,Change Talk,0,5
1197171,Persuasion,2,3
1197916,Ambivalence,6,6
1231929,Ambivalence,7,3
1394310,Persuasion,5,3
1406048,Persuasion,1,5
1424032,Ambivalence,8,5
1480148,Ambivalence,4,2
1531824,Persuasion,10,5
1576948,Persuasion,3,4
1590210,Ambivalence,9,0
1601263,Ambivalence,4,5
1625457,Ambivalence,5,5
1758850,Ambivalence,9,1
1802539,Persuasion,3,0
1827030,Persuasion,4,3
1837041,Ambivalence,3,5
1932396,Ambivalence,5,4
1985326,Ambivalence,5,7
2041438,Change Talk,1,4
2094609,Persuasion,4,4
2160156,Persuasion,7,6
2338145,Change Talk,0,4
2446850,Persuasion,2,1
2480213,Change Talk,0,8
2555784,Ambivalence,8,6
2764093,Ambivalence,0,4
2813523,Ambivalence,7,6
2820614,Change Talk,0,10
2837871,Change Talk,5,0
2914772,Ambivalence,3,3
3014004,Persuasion,3,2
3112946,Change Talk,1,8
3171438,Change Talk,4,4
3259792,Change Talk,2,7
3273034,Persuasion,2,4
3307479,Change Talk,1,7
3321057,Persuasion,5,5
3394922,Ambivalence,4,4
3414846,Persuasion,5,9
3448095,Persuasion,2,3
3487380,Persuasion,9,4
3487483,Change Talk,2,4
3518165,Persuasion,4,5
3591504,Persuasion,9,5
3648651,Ambivalence,6,5
3762277,Change Talk,0,8
3838778,Persuasion,1,1
3890466,Ambivalence,4,3
3960619,Persuasion,4,3
4026400,Persuasion,3,3
4034562,Change Talk,6,9
4038137,Change Talk,0,6
4072619,Persuasion,3,11
4145474,Persuasion,4,9
4173126,Persuasion,3,2
4232145,Persuasion,3,2
4306578,Change Talk,6,13
4319049,Persuasion,1,3
4330667,Ambivalence,5,9
4334456,Ambivalence,5,7
4343951,Ambivalence,0,4
4344466,Persuasion,11,3
4498818,Persuasion,1,4
4525725,Ambivalence,0,3
4555733,Ambivalence,10,13
4557830,Change Talk,2,11
4574740,Ambivalence,5,5
4740164,Change Talk,4,4
4745673,Ambivalence,4,7
4819312,Ambivalence,5,7
4890541,Ambivalence,4,2
4926431,Ambivalence,3,8
4929090,Ambivalence,7,0
4993845,Ambivalence,8,2
5042599,Persuasion,4,3
5093294,Ambivalence,4,4
5124532,Persuasion,0,3
5124650,Change Talk,7,11
5190361,Ambivalence,2,3
5216444,Ambivalence,4,3
5264971,Change Talk,4,13
5311691,Ambivalence,7,3
5366217,Persuasion,0,2
5377631,Ambivalence,6,6
5381186,Persuasion,1,0
5412457,Ambivalence,6,7
5420936,Persuasion,2,2
5575560,Persuasion,3,3
5597520,Persuasion,1,2
5616562,Change Talk,1,6
5720006,Change Talk,3,6
5727058,Persuasion,6,4
5785992,Persuasion,2,0
5793794,Change Talk,1,10
5817157,Ambivalence,8,3
6067096,Persuasion,3,5
6077676,Ambivalence,6,4
6191351,Persuasion,5,3
6229713,Persuasion,5,5
6235340,Change Talk,1,4
6246093,Change Talk,0,4
6561966,Persuasion,4,3
6630403,Change Talk,3,4
6635117,Ambivalence,5,3
6654032,Ambivalence,6,12
6658537,Persuasion,2,2
6667957,Ambivalence,6,8
6683280,Ambivalence,4,4
6724122,Ambivalence,7,4
6727803,Persuasion,4,0
6739338,Persuasion,4,0
6811016,Persuasion,2,1
6812013,Ambivalence,3,3
6822384,Persuasion,1,0
6829333,Persuasion,1,5
6992331,Ambivalence,3,2
7050126,Ambivalence,3,6
7063203,Change Talk,6,7
7079657,Persuasion,3,6
7113383,Ambivalence,11,11
7132643,Change Talk,2,6
7269762,Change Talk,7,7
7505615,Persuasion,1,3
7509030,Change Talk,3,5
7524866,Change Talk,0,6
7534920,Ambivalence,3,6
7602368,Change Talk,4,5
7635713,Persuasion,5,4
7641852,Persuasion,6,3
7747181,Change Talk,5,4
7812435,Ambivalence,6,2
7813155,Ambivalence,6,5
7847124,Persuasion,1,9
7871884,Change Talk,3,6
7904771,Ambivalence,4,5
7949597,Ambivalence,6,9
7977253,Change Talk,3,5
7998657,Ambivalence,5,4
8052091,Ambivalence,5,9
8093695,Persuasion,5,11
8124008,Ambivalence,6,6
8164886,Change Talk,0,4
8208542,Persuasion,3,5
8234675,Change Talk,3,4
8244058,Change Talk,4,6
8256639,Ambivalence,5,6
8271624,Ambivalence,4,3
8281137,Persuasion,4,6
8353025,Change Talk,2,4
8396731,Ambivalence,2,0
8480160,Ambivalence,6,3
8595190,Ambivalence,4,5
8692213,Persuasion,7,9
8727306,Change Talk,2,2
8784234,Change Talk,0,11
8785685,Persuasion,1,1
8793327,Persuasion,3,9
8818507,Ambivalence,0,12
8820431,Persuasion,2,4
8824830,Change Talk,7,6
8906837,Persuasion,2,6
8908810,Ambivalence,4,5
8933680,Persuasion,1,4
8963594,Ambivalence,11,10
8980784,Ambivalence,5,6
9011507,Persuasion,6,15
9043583,Ambivalence,8,12
9079671,Ambivalence,5,6
9091403,Change Talk,0,14
9148219,Ambivalence,6,4
9175120,Change Talk,10,8
9196502,Ambivalence,5,8
9296004,Ambivalence,19,14
9314269,Persuasion,2,6
9373719,Ambivalence,5,6
9399834,Persuasion,4,6
9425988,Persuasion,2,8
9562521,Change Talk,3,5
9588980,Change Talk,3,5
9658055,Ambivalence,7,10
9682298,Ambivalence,5,4
9698935,Change Talk,3,8
9756910,Ambivalence,4,5
9808934,Persuasion,0,2
9840110,Ambivalence,4,6
9886346,Change Talk,3,5
9891168,Ambivalence,4,4
10045242,Persuasion,2,2
10085027,Change Talk,0,9
10127525,Ambivalence,5,10
10162360,Ambivalence,4,3
10221599,Change Talk,2,4
10306466,Persuasion,6,7
10435735,Persuasion,3,1
10444833,Ambivalence,4,9
10482787,Change Talk,4,4
10493164,Ambivalence,10,9
10502045,Ambivalence,3,3
10558473,Change Talk,1,8
10585753,Change Talk,4,6
10639097,Ambivalence,3,8
10639762,Change Talk,0,7
10723367,Change Talk,1,4
10724474,Persuasion,4,8
10759219,Ambivalence,8,2
10864599,Persuasion,3,2
10895598,Persuasion,3,4
10896618,Change Talk,2,4
10937565,Persuasion,3,6
10947517,Change Talk,10,12
10970181,Ambivalence,5,5
10976243,Ambivalence,5,3
10986543,Change Talk,2,3
11035990,Change Talk,1,8
11066912,Persuasion,3,6
11131873,Change Talk,0,6
11143467,Change Talk,2,2
11149407,Persuasion,3,3
11182037,Ambivalence,4,7
11200117,Persuasion,1,1
11218425,Ambivalence,4,2
11313941,Ambivalence,4,3
11333184,Ambivalence,2,5
11371884,Change Talk,0,7
11600331,Ambivalence,3,9
11712357,Persuasion,10,10
11805287,Ambivalence,4,2
11838976,Change Talk,1,3
11938344,Ambivalence,3,3
11949697,Persuasion,2,5
11955877,Persuasion,1,5
12106834,Persuasion,2,2
12196807,Change Talk,6,6
12198678,Ambivalence,6,3
12217184,Ambivalence,4,3
12265147,Ambivalence,5,6
12289411,Ambivalence,5,1
12289539,Change Talk,7,9
12326891,Ambivalence,2,10
12402023,Ambivalence,8,16
12406233,Change Talk,0,3
12594213,Persuasion,6,2
12711427,Change Talk,0,6
12729718,Ambivalence,8,3
12778409,Persuasion,4,1
12818095,Ambivalence,4,7
12832490,Persuasion,2,4
12862934,Ambivalence,9,1
12870284,Change Talk,0,5
12938274,Persuasion,2,2
13074710,Persuasion,4,4
13151625,Persuasion,1,3
13196760,Change Talk,0,7
13232338,Change Talk,0,5
13302699,Change Talk,0,7
13307205,Change Talk,2,10
13324932,Ambivalence,3,6
13343799,Ambivalence,4,8
13417589,Ambivalence,6,4
13424765,Ambivalence,4,6
13426078,Ambivalence,2,3
13577953,Change Talk,0,3
13616174,Ambivalence,5,4
13656121,Change Talk,8,7
13666019,Change Talk,5,4
13765248,Persuasion,5,5
13911298,Ambivalence,5,8
13954244,Change Talk,4,5
13994730,Ambivalence,4,12
13995410,Ambivalence,3,4
14028825,Ambivalence,2,8
14056709,Ambivalence,8,5
14088416,Ambivalence,2,7
14152635,Ambivalence,4,4
14260829,Change Talk,2,0
14317302,Change Talk,2,4
14335610,Ambivalence,5,9
14341498,Persuasion,5,5
14362695,Ambivalence,5,9
14467416,Persuasion,6,6
14531858,Ambivalence,6,4
14637463,Ambivalence,6,4
14713011,Change Talk,1,12
14955932,Persuasion,3,12
14961825,Persuasion,2,9
