arm,question_topic,position,within_cosine,n,reference
Change Talk,opener,1.0,0.9999999999999998,730,0.12460927808972676
Change Talk,followup_past_negatives,3.0,0.26958516958525874,723,0.12460927808972676
Change Talk,deepen_negative_impacts,5.0,0.1807524498188889,722,0.12460927808972676
Change Talk,followup_2_past_negatives,7.0,0.28279971225839023,721,0.12460927808972676
Change Talk,values_future_vision,9.0,0.3539486485989306,716,0.12460927808972676
Change Talk,summary_understanding,11.0,0.18705210884934553,704,0.12460927808972676
Change Talk,first_scaling_question,13.0,0.5242565498576679,696,0.12460927808972676
Change Talk,followup_first_scaling_question,15.0,0.7690806119822315,687,0.12460927808972676
Change Talk,dig_deeper_first_scaling_question,17.0,0.3191586912975582,674,0.12460927808972676
Change Talk,second_scaling_question,19.0,0.5196552503633401,648,0.12460927808972676
Change Talk,followup_second_scaling_question,21.0,0.6083075650223625,634,0.12460927808972676
Change Talk,ability_booster_strengths,23.0,0.3276291381035908,626,0.12460927808972676
Change Talk,confidence_past_success,25.0,0.37453984342390173,598,0.12460927808972676
Change Talk,menu_of_choices_1,27.0,0.2795442834730611,577,0.12460927808972676
Change Talk,action_step,29.0,0.190985370074181,556,0.12460927808972676
Change Talk,review_interview,31.0,0.279184867915805,535,0.12460927808972676
Change Talk,wrap_up,33.0,0.23679813128423982,528,0.12460927808972676
Decisional Balance,opener,1.0,1.0000000000000002,724,0.12480284982815079
Decisional Balance,followup_past_positives,3.0,0.36112200717426546,715,0.12480284982815079
Decisional Balance,deepen_positives,5.0,0.18400771424585652,710,0.12480284982815079
Decisional Balance,followup_past_negatives,7.0,0.28089065827529586,708,0.12480284982815079
Decisional Balance,deepen_negatives,9.0,0.19438993077141378,703,0.12480284982815079
Decisional Balance,values_discrepancy,11.0,0.30790619500057925,691,0.12480284982815079
Decisional Balance,summary_understanding,13.0,0.2444870267632264,668,0.12480284982815079
Decisional Balance,first_scaling_question,15.0,0.728913951059127,646,0.12480284982815079
Decisional Balance,importance_followup_lower,17.0,0.849245860395901,639,0.12480284982815079
Decisional Balance,importance_followup_higher,19.0,0.2666389079002185,633,0.12480284982815079
Decisional Balance,imagine_consequences,21.0,0.3584071797927907,615,0.12480284982815079
Decisional Balance,second_scaling_question,23.0,0.49556945816012515,590,0.12480284982815079
Decisional Balance,confidence_followup_lower,25.0,0.9416381624935871,581,0.12480284982815079
Decisional Balance,confidence_followup_higher,27.0,0.2440538838379133,571,0.12480284982815079
Decisional Balance,strengths_past_success,29.0,0.28692244869303773,566,0.12480284982815079
Decisional Balance,menu_of_choices_1,31.0,0.3077712143110678,539,0.12480284982815079
Decisional Balance,action_step,33.0,0.196370853519915,526,0.12480284982815079
Decisional Balance,review_interview,35.0,0.2582932360054742,511,0.12480284982815079
Decisional Balance,wrap_up,37.0,0.23505009544276423,500,0.12480284982815079
Direct Persuasion,opener,1.0,0.9999999999999998,731,0.11821114649705737
Direct Persuasion,t4_reaction_relevance,3.0,0.36421620723296644,718,0.11821114649705737
Direct Persuasion,t4_habits_map,5.0,0.473850283062991,717,0.11821114649705737
Direct Persuasion,t4_direct_harms,7.0,0.47892046783025366,711,0.11821114649705737
Direct Persuasion,t4_benefits_ask,9.0,0.26422163626593004,704,0.11821114649705737
Direct Persuasion,t4_benefits_counter,11.0,0.49265730024272697,694,0.11821114649705737
Direct Persuasion,t4_importance_scale,13.0,0.5398038317900223,673,0.11821114649705737
Direct Persuasion,t4_importance_to_plan,15.0,0.3162944012245841,663,0.11821114649705737
Direct Persuasion,t4_plan_or_benchmarks,17.0,0.30472398250721205,648,0.11821114649705737
Direct Persuasion,t4_commitment_rule,19.0,0.25188228315197253,636,0.11821114649705737
Direct Persuasion,t4_enforcement,21.0,0.48149572713403965,624,0.11821114649705737
Direct Persuasion,t4_confidence_scale2,23.0,0.516753660921415,610,0.11821114649705737
Direct Persuasion,t4_confidence_strengthen,25.0,0.23252322004635098,602,0.11821114649705737
Direct Persuasion,t4_barriers_solutions,27.0,0.2965042145092622,591,0.11821114649705737
Direct Persuasion,t4_closing_summary,29.0,0.2528255655177266,575,0.11821114649705737
Control (Time Use),opener,1.0,0.993147783313928,732,0.12161458378443245
Control (Time Use),followup_morning_routine,3.0,0.20904343707225134,714,0.12161458378443245
Control (Time Use),question_midday,5.0,0.2898764284913935,713,0.12161458378443245
Control (Time Use),question_evening,7.0,0.24735609036899736,711,0.12161458378443245
Control (Time Use),follow_up_evening,9.0,0.21748404900330126,706,0.12161458378443245
Control (Time Use),planning_question,11.0,0.4198110863533458,692,0.12161458378443245
Control (Time Use),question_routines,13.0,0.39606493695149425,684,0.12161458378443245
Control (Time Use),seasonal_variation,15.0,0.28579551435611644,654,0.12161458378443245
Control (Time Use),routine_change_wish,15.0,0.5258717792558937,7,0.12161458378443245
Control (Time Use),seasonal_variation_followup,17.0,0.3570965548871423,630,0.12161458378443245
Control (Time Use),routine_change_followup,17.0,0.4717046832265754,7,0.12161458378443245
Control (Time Use),question_differences,19.0,0.2710008456801219,624,0.12161458378443245
Control (Time Use),wrap_up,21.0,0.310147581210508,606,0.12161458378443245
Control (Time Use),summarizing_statement,23.0,0.2436982413666423,592,0.12161458378443245
