user_id_raw,T,llm_strategies_openai
1149265,Ambivalence,"[""Set Rules or Goals""]"
1185451,Change Talk,"[""Set Rules or Goals""]"
1197171,Persuasion,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Set Rules or Goals""]"
1197916,Ambivalence,"[""Curate Feed/Content"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
1231929,Ambivalence,"[""Physical Separation""]"
1394310,Persuasion,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
1406048,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Third-Party Blocker"", ""Willpower and Discipline""]"
1531824,Persuasion,"[""Set Rules or Goals""]"
1576948,Persuasion,"[""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
1590210,Ambivalence,[]
1601263,Ambivalence,"[""Set Rules or Goals""]"
1625457,Ambivalence,"[""Set Rules or Goals"", ""Modify Notifications"", ""Willpower and Discipline""]"
1802539,Persuasion,[]
1827030,Persuasion,"[""Built-in Tracking/Restriction"", ""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
1837041,Ambivalence,"[""Delete or Deactivate""]"
1985326,Ambivalence,"[""Delete or Deactivate"", ""Set Rules or Goals""]"
2041438,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
2094609,Persuasion,"[""Built-in Tracking/Restriction""]"
2160156,Persuasion,"[""Set Rules or Goals"", ""Social Accountability""]"
2338145,Change Talk,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
2446850,Persuasion,"[""Delete or Deactivate"", ""Set Rules or Goals""]"
2555784,Ambivalence,"[""Set Rules or Goals""]"
2813523,Ambivalence,"[""Set Rules or Goals"", ""Replace with Other Activities""]"
2820614,Change Talk,"[""Set Rules or Goals""]"
2914772,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
3014004,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
3171438,Change Talk,"[""Physical Separation""]"
3259792,Change Talk,"[""Physical Separation"", ""Set Rules or Goals""]"
3273034,Persuasion,"[""Willpower and Discipline"", ""Set Rules or Goals""]"
3307479,Change Talk,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
3321057,Persuasion,"[""Set Rules or Goals"", ""Replace with Other Activities""]"
3394922,Ambivalence,"[""Set Rules or Goals"", ""Reduce Overall Phone Use""]"
3414846,Persuasion,"[""Modify Notifications"", ""Physical Separation"", ""Set Rules or Goals""]"
3448095,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
3487380,Persuasion,"[""Increase Access Friction"", ""Set Rules or Goals""]"
3487483,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
3518165,Persuasion,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Reduce Overall Phone Use"", ""Set Rules or Goals"", ""Social Accountability"", ""Willpower and Discipline""]"
3591504,Persuasion,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
3648651,Ambivalence,"[""Delete or Deactivate"", ""Increase Access Friction"", ""Set Rules or Goals""]"
3762277,Change Talk,"[""Willpower and Discipline""]"
3838778,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
3890466,Ambivalence,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
3960619,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Social Accountability""]"
4026400,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
4034562,Change Talk,"[""Set Rules or Goals"", ""Willpower and Discipline"", ""Replace with Other Activities""]"
4038137,Change Talk,"[""Delete or Deactivate""]"
4072619,Persuasion,"[""Built-in Tracking/Restriction"", ""Curate Feed/Content"", ""Delete or Deactivate"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Third-Party Blocker"", ""Willpower and Discipline""]"
4145474,Persuasion,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Set Rules or Goals""]"
4173126,Persuasion,"[""Built-in Tracking/Restriction"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Third-Party Blocker"", ""Willpower and Discipline""]"
4232145,Persuasion,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Set Rules or Goals""]"
4306578,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
4319049,Persuasion,"[""Physical Separation"", ""Willpower and Discipline""]"
4330667,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
4334456,Ambivalence,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
4343951,Ambivalence,"[""Delete or Deactivate"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
4344466,Persuasion,"[""Built-in Tracking/Restriction"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
4498818,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
4525725,Ambivalence,"[""Physical Separation"", ""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
4555733,Ambivalence,"[""Physical Separation""]"
4557830,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
4574740,Ambivalence,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
4740164,Change Talk,"[""Physical Separation"", ""Set Rules or Goals""]"
4745673,Ambivalence,"[""Set Rules or Goals""]"
4819312,Ambivalence,"[""Delete or Deactivate""]"
4890541,Ambivalence,"[""Modify Notifications"", ""Physical Separation"", ""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
4926431,Ambivalence,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
4929090,Ambivalence,"[""Replace with Other Activities""]"
5042599,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
5093294,Ambivalence,"[""Set Rules or Goals""]"
5124532,Persuasion,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Set Rules or Goals""]"
5124650,Change Talk,"[""Replace with Other Activities"", ""Willpower and Discipline""]"
5264971,Change Talk,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Social Accountability""]"
5311691,Ambivalence,"[""Reduce Overall Phone Use"", ""Replace with Other Activities""]"
5366217,Persuasion,"[""Set Rules or Goals"", ""Social Accountability""]"
5377631,Ambivalence,"[""Modify Notifications"", ""Physical Separation""]"
5381186,Persuasion,[]
5420936,Persuasion,"[""Set Rules or Goals""]"
5575560,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
5597520,Persuasion,"[""Modify Notifications"", ""Set Rules or Goals""]"
5616562,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals"", ""Social Accountability"", ""Willpower and Discipline""]"
5720006,Change Talk,"[""Modify Notifications"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
5727058,Persuasion,"[""Modify Notifications"", ""Set Rules or Goals""]"
5793794,Change Talk,"[""Physical Separation"", ""Set Rules or Goals"", ""Replace with Other Activities"", ""Increase Access Friction""]"
6067096,Persuasion,"[""Modify Notifications"", ""Set Rules or Goals""]"
6077676,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
6191351,Persuasion,"[""Built-in Tracking/Restriction"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
6229713,Persuasion,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
6246093,Change Talk,"[""Physical Separation"", ""Willpower and Discipline""]"
6561966,Persuasion,"[""Built-in Tracking/Restriction"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
6630403,Change Talk,"[""Built-in Tracking/Restriction""]"
6635117,Ambivalence,[]
6654032,Ambivalence,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
6658537,Persuasion,"[""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
6667957,Ambivalence,"[""Set Rules or Goals""]"
6683280,Ambivalence,"[""Delete or Deactivate""]"
6739338,Persuasion,"[""Set Rules or Goals""]"
6811016,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
6822384,Persuasion,"[""Set Rules or Goals""]"
6829333,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
6992331,Ambivalence,"[""Delete or Deactivate""]"
7050126,Ambivalence,"[""Set Rules or Goals"", ""Replace with Other Activities"", ""Willpower and Discipline""]"
7063203,Change Talk,"[""Physical Separation"", ""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
7079657,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
7113383,Ambivalence,"[""Curate Feed/Content""]"
7132643,Change Talk,"[""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
7269762,Change Talk,"[""Physical Separation"", ""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
7505615,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
7509030,Change Talk,"[""Replace with Other Activities""]"
7524866,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
7534920,Ambivalence,"[""Physical Separation"", ""Replace with Other Activities"", ""Increase Access Friction"", ""Willpower and Discipline""]"
7602368,Change Talk,"[""Set Rules or Goals"", ""Replace with Other Activities"", ""Willpower and Discipline""]"
7635713,Persuasion,"[""Built-in Tracking/Restriction"", ""Curate Feed/Content"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
7641852,Persuasion,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
7747181,Change Talk,"[""Modify Notifications"", ""Physical Separation"", ""Replace with Other Activities""]"
7812435,Ambivalence,[]
7813155,Ambivalence,"[""Set Rules or Goals"", ""Curate Feed/Content""]"
7847124,Persuasion,"[""Set Rules or Goals""]"
7871884,Change Talk,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
7949597,Ambivalence,"[""Delete or Deactivate""]"
7977253,Change Talk,"[""Willpower and Discipline""]"
8052091,Ambivalence,"[""Willpower and Discipline"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
8093695,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
8124008,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
8164886,Change Talk,"[""Replace with Other Activities"", ""Willpower and Discipline""]"
