session_id,T,Interviewer mentions 30 minutes / half an hour,Participant mentions 30 minutes / half an hour,"Participant mentions before any interviewer mention, or without one",Participant mentions after an interviewer mention
MI-MAINEXP-10045242,3,True,False,False,False
MI-MAINEXP-10056661,0,False,False,False,False
MI-MAINEXP-10085027,1,False,False,False,False
MI-MAINEXP-10127525,2,False,False,False,False
MI-MAINEXP-10162360,2,False,False,False,False
MI-MAINEXP-10221599,1,False,False,False,False
MI-MAINEXP-10239555,0,False,False,False,False
MI-MAINEXP-10306466,3,True,True,False,True
MI-MAINEXP-10427461,0,True,True,True,True
MI-MAINEXP-10435735,3,True,True,False,True
MI-MAINEXP-10444833,2,True,True,True,False
MI-MAINEXP-10458675,0,True,True,True,False
MI-MAINEXP-10482787,1,False,False,False,False
MI-MAINEXP-10493164,2,False,False,False,False
MI-MAINEXP-10502045,2,False,False,False,False
MI-MAINEXP-10558473,1,False,False,False,False
MI-MAINEXP-10573054,0,False,True,True,False
MI-MAINEXP-10585753,1,False,False,False,False
MI-MAINEXP-10639097,2,False,False,False,False
MI-MAINEXP-10639762,1,False,False,False,False
MI-MAINEXP-10712170,0,False,False,False,False
MI-MAINEXP-10723367,1,False,False,False,False
MI-MAINEXP-10724474,3,True,True,False,True
MI-MAINEXP-10759219,2,False,False,False,False
MI-MAINEXP-10864599,3,False,False,False,False
MI-MAINEXP-10882405,0,True,True,True,False
MI-MAINEXP-10895598,3,True,False,False,False
MI-MAINEXP-10896618,1,False,False,False,False
MI-MAINEXP-10937565,3,True,True,True,True
MI-MAINEXP-10947517,1,False,False,False,False
MI-MAINEXP-10970181,2,False,False,False,False
MI-MAINEXP-10976243,2,False,False,False,False
MI-MAINEXP-10986543,1,False,False,False,False
MI-MAINEXP-11035990,1,False,False,False,False
MI-MAINEXP-11066912,3,True,False,False,False
MI-MAINEXP-11076802,0,False,False,False,False
MI-MAINEXP-11131873,1,False,False,False,False
MI-MAINEXP-11143467,1,False,False,False,False
MI-MAINEXP-11149407,3,True,True,False,True
MI-MAINEXP-11182037,2,False,False,False,False
