seed,topic_id,topic_label,component_topic_ids,n_reference_docs,n_matched_docs,retention,precision,f1,jaccard,matched_seed_topic_ids,component_matches
7,0,Balancing Connection and Social Media Use,0,4660,5285,0.8536480686695279,0.7526963103122043,0.8,0.6666666666666666,0,0:0
7,1,Physical Strategies to Limit Phone Use,1,1883,1651,0.718534253850239,0.8195033313143549,0.765704584040747,0.6203576341127923,1,1:1
7,2,Social Media Impact on Energy and Productivity,2,1649,1518,0.7907822922983626,0.8590250329380764,0.8234922639722133,0.6999463231347289,2,2:2
7,3,Confidence in Changing Social Media Use,"3,8",2114,1717,0.640964995269631,0.7891671520093185,0.7073871051944663,0.5472536348949919,"5,8",3:5;8:8
7,4,Improving Focus and Productivity,4,1236,1229,0.698220064724919,0.7021969080553295,0.7002028397565923,0.5387016229712859,3,4:3
7,5,Daily Timing of Social Media Use,5,1092,1090,0.9212454212454212,0.9229357798165138,0.922089825847846,0.8554421768707483,4,5:4
7,6,Challenges in Changing Social Media Habits,6,651,651,0.5376344086021505,0.5376344086021505,0.5376344086021505,0.36764705882352944,7,6:7
7,7,Unproductive and Prolonged Scrolling,7,631,564,0.8684627575277337,0.9716312056737588,0.9171548117154811,0.8469860896445132,9,7:9
7,9,Challenges in Sustaining Personal Change,9,466,667,0.944206008583691,0.6596701649175413,0.7766990291262136,0.6349206349206349,6,9:6
7,10,App and Notification Use Management,10,384,460,0.921875,0.7695652173913043,0.8388625592417062,0.7224489795918367,10,10:10
7,11,Negative Content and Ad Intrusion,11,351,333,0.8518518518518519,0.8978978978978979,0.8742690058479531,0.7766233766233767,13,11:13
7,12,Confirmatory Statement,"12,14,16,27",803,1159,0.8057285180572852,0.5582398619499569,0.6595310907237514,0.4920152091254753,"8,12,15",12:12;14:8;16:15;27:None
7,13,Managing YouTube Viewing Time,13,322,365,0.8136645962732919,0.7178082191780822,0.7627365356622999,0.6164705882352941,11,13:11
7,15,Gradual Reduction of Social Media Use,15,236,229,0.8983050847457628,0.925764192139738,0.9118279569892472,0.8379446640316206,14,15:14
7,17,No Specific Thoughts or Ideas,17,135,118,0.837037037037037,0.9576271186440678,0.893280632411067,0.8071428571428572,18,17:18
7,18,Expressions of Uncertainty and Clarification,18,122,78,0.639344262295082,1.0,0.78,0.639344262295082,22,18:22
7,19,Preference for Gradual Social Media Reduction,19,110,128,0.9727272727272728,0.8359375,0.8991596638655464,0.816793893129771,17,19:17
7,20,Perceived Excessive Social Media Use,20,102,116,0.9215686274509803,0.8103448275862069,0.8623853211009175,0.7580645161290323,19,20:19
7,21,Reliance on Personal Willpower,21,88,92,0.9090909090909091,0.8695652173913043,0.888888888888889,0.8,20,21:20
7,22,Setting Limits on Phone Use,22,78,76,0.9615384615384616,0.9868421052631579,0.974025974025974,0.9493670886075949,24,22:24
7,23,Intentional Limited Social Media Checking,23,64,69,0.96875,0.8985507246376812,0.9323308270676692,0.8732394366197183,26,23:26
7,24,Use of App Blockers for Control,24,64,460,0.953125,0.13260869565217392,0.23282442748091603,0.13174946004319654,10,24:10
7,25,Perceived Productivity and Social Media Conflict,25,51,76,0.9215686274509803,0.618421052631579,0.7401574803149605,0.5875,23,25:23
7,26,Boredom and Attention States,26,48,59,0.9166666666666666,0.7457627118644068,0.822429906542056,0.6984126984126984,27,26:27
7,28,Managing Conversational Engagement,28,38,340,0.02631578947368421,0.0029411764705882353,0.005291005291005291,0.002652519893899204,12,28:12
13,0,Balancing Connection and Social Media Use,0,4660,4364,0.7109442060085837,0.7591659028414299,0.7342641843971631,0.5801085624233935,0,0:0
13,1,Physical Strategies to Limit Phone Use,1,1883,2206,0.8645778013807753,0.7379873073436083,0.7962827097089753,0.6615197074360016,2,1:2
13,2,Social Media Impact on Energy and Productivity,2,1649,2745,0.6567616737416616,0.3945355191256831,0.4929449248975876,0.32709151313802476,1,2:1
13,3,Confidence in Changing Social Media Use,"3,8",2114,2117,0.8623462630085147,0.8611242324043458,0.8617348144646657,0.7570598006644518,"3,8",3:3;8:8
13,4,Improving Focus and Productivity,4,1236,1167,0.6254045307443366,0.662382176520994,0.6433624635871827,0.4742331288343558,4,4:4
