topic_id,p_topic,topic_keywords,type,question_name,order,user_id_raw,T,treatment,topic_label
0,1.0,miss - friends - entertainment - people - life - live - social media - media - social - use,answer,followup_past_positives,2,57737929,2,Ambivalence,Balancing Connection and Social Media Use
0,0.7660789373022409,miss - friends - entertainment - people - life - live - social media - media - social - use,answer,deepen_positives,4,57737929,2,Ambivalence,Balancing Connection and Social Media Use
0,1.0,miss - friends - entertainment - people - life - live - social media - media - social - use,answer,followup_past_negatives,6,57737929,2,Ambivalence,Balancing Connection and Social Media Use
-1,0.0,youtube - need - change - hours - help - doing - start - spend - use - phone,answer,deepen_negatives,8,57737929,2,Ambivalence,Struggling to Regulate Social Media Use
0,0.9482991084469264,miss - friends - entertainment - people - life - live - social media - media - social - use,answer,values_discrepancy,10,57737929,2,Ambivalence,Balancing Connection and Social Media Use
-1,0.0,youtube - need - change - hours - help - doing - start - spend - use - phone,answer,summary_understanding,12,57737929,2,Ambivalence,Struggling to Regulate Social Media Use
12,1.0,right - perfect - ve got - fine - did - good - change - completely - think - plan,answer,first_scaling_question,14,57737929,2,Ambivalence,Explicit Confirmation of Accuracy
0,1.0,miss - friends - entertainment - people - life - live - social media - media - social - use,answer,importance_followup_higher,18,57737929,2,Ambivalence,Balancing Connection and Social Media Use
3,1.0,10 - important - reduce - mean - means - problem - don want - right - cut - goal,answer,imagine_consequences,20,57737929,2,Ambivalence,Confidence in Changing Social Media Use
0,0.6070718632664122,miss - friends - entertainment - people - life - live - social media - media - social - use,answer,second_scaling_question,22,57737929,2,Ambivalence,Balancing Connection and Social Media Use
3,1.0,10 - important - reduce - mean - means - problem - don want - right - cut - goal,answer,confidence_followup_lower,24,57737929,2,Ambivalence,Confidence in Changing Social Media Use
6,1.0,habit - habits - plan - change - stick - making - need - motivated - productive - improve,answer,confidence_followup_higher,26,57737929,2,Ambivalence,Challenges in Changing Social Media Habits
2,0.99231336660929,makes - tired - sleep - productive - work - feel - energy - morning - things - health,answer,strengths_past_success,28,57737929,2,Ambivalence,Social Media Impact on Energy and Productivity
11,0.318755216131103,posts - hate - news - people - post - bad - don like - read - positive - type,answer,followup_past_positives,2,69358937,2,Ambivalence,Negative Content and Ad Intrusion
0,0.8186721225753151,miss - friends - entertainment - people - life - live - social media - media - social - use,answer,deepen_positives,4,69358937,2,Ambivalence,Balancing Connection and Social Media Use
0,1.0,miss - friends - entertainment - people - life - live - social media - media - social - use,answer,followup_past_negatives,6,69358937,2,Ambivalence,Balancing Connection and Social Media Use
11,1.0,posts - hate - news - people - post - bad - don like - read - positive - type,answer,deepen_negatives,8,69358937,2,Ambivalence,Negative Content and Ad Intrusion
11,0.2864562334130635,posts - hate - news - people - post - bad - don like - read - positive - type,answer,values_discrepancy,10,69358937,2,Ambivalence,Negative Content and Ad Intrusion
11,1.0,posts - hate - news - people - post - bad - don like - read - positive - type,answer,summary_understanding,12,69358937,2,Ambivalence,Negative Content and Ad Intrusion
7,0.2388920750873838,scrolling - end - waste - waste time - posts - attention - sleep - read - spend time - productive,answer,importance_followup_higher,18,69358937,2,Ambivalence,Unproductive and Prolonged Scrolling
1,1.0,phone - screen - minutes - limit - hour - app - hours - using - week - night,answer,imagine_consequences,20,69358937,2,Ambivalence,Physical Strategies to Limit Phone Use
0,1.0,miss - friends - entertainment - people - life - live - social media - media - social - use,answer,second_scaling_question,22,69358937,2,Ambivalence,Balancing Connection and Social Media Use
3,1.0,10 - important - reduce - mean - means - problem - don want - right - cut - goal,answer,confidence_followup_lower,24,69358937,2,Ambivalence,Confidence in Changing Social Media Use
8,0.6975723014564328,control - believe - mind - try - self - difficult - stick - effort - want - pretty,answer,confidence_followup_higher,26,69358937,2,Ambivalence,Self-Confidence in Behavior Change
-1,0.0,youtube - need - change - hours - help - doing - start - spend - use - phone,answer,strengths_past_success,28,69358937,2,Ambivalence,Struggling to Regulate Social Media Use
9,0.4187255647216303,difficult - health - job - didn - motivated - change - habits - school - self - cut,answer,menu_of_choices_1,30,69358937,2,Ambivalence,Challenges in Sustaining Personal Change
1,0.7642317948163495,phone - screen - minutes - limit - hour - app - hours - using - week - night,answer,action_step,32,69358937,2,Ambivalence,Physical Strategies to Limit Phone Use
23,0.4380632876974027,constantly - small - look - minutes - working - week - time just - evening - late - day,answer,review_interview,34,69358937,2,Ambivalence,Intentional Limited Social Media Checking
-1,0.0,youtube - need - change - hours - help - doing - start - spend - use - phone,answer,wrap_up,36,69358937,2,Ambivalence,Struggling to Regulate Social Media Use
-1,0.0,youtube - need - change - hours - help - doing - start - spend - use - phone,answer,followup_past_positives,2,62395546,2,Ambivalence,Struggling to Regulate Social Media Use
-1,0.0,youtube - need - change - hours - help - doing - start - spend - use - phone,answer,deepen_positives,4,62395546,2,Ambivalence,Struggling to Regulate Social Media Use
0,0.6890302787453758,miss - friends - entertainment - people - life - live - social media - media - social - use,answer,followup_past_negatives,6,62395546,2,Ambivalence,Balancing Connection and Social Media Use
0,0.8213272128587599,miss - friends - entertainment - people - life - live - social media - media - social - use,answer,deepen_negatives,8,62395546,2,Ambivalence,Balancing Connection and Social Media Use
-1,0.0,youtube - need - change - hours - help - doing - start - spend - use - phone,answer,values_discrepancy,10,62395546,2,Ambivalence,Struggling to Regulate Social Media Use
-1,0.0,youtube - need - change - hours - help - doing - start - spend - use - phone,answer,summary_understanding,12,62395546,2,Ambivalence,Struggling to Regulate Social Media Use
16,0.7503332192078815,perfect - pretty - thoughts - experience - job - balance - change - feel - moment - definitely,answer,first_scaling_question,14,62395546,2,Ambivalence,Agreement with Summary Statements
