response_id,response,screen_time_hours,screen_time_minutes
R_8WCNia1iWGCLvsu,"Response(id='resp_0e288dcff17d4f5900695f84608418819caaf769f7e3595e2f', created_at=1767867488.0, error=None, incomplete_details=None, instructions=None, metadata={}, model='gpt-5-mini-2025-08-07', object='response', output=[ResponseReasoningItem(id='rs_0e288dcff17d4f5900695f84614ad0819c9cfdb48b2c5dbbcc', summary=[], type='reasoning', encrypted_content=None, status=None), ResponseOutputMessage(id='msg_0e288dcff17d4f5900695f84634db0819c96cffa5a3de7f1e3', content=[ResponseOutputText(annotations=[], text='{""screen_time_hours"":""19"",""screen_time_minutes"":""16""}', type='output_text', logprobs=[])], role='assistant', status='completed', type='message')], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, max_output_tokens=None, previous_response_id=None, reasoning=Reasoning(effort='medium', generate_summary=None, summary=None), service_tier='default', status='completed', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), truncation='disabled', usage=ResponseUsage(input_tokens=1862, input_tokens_details=InputTokensDetails(cached_tokens=0), output_tokens=147, output_tokens_details=OutputTokensDetails(reasoning_tokens=128), total_tokens=2009), user=None, billing={'payer': 'developer'}, completed_at=1767867491, max_tool_calls=None, prompt_cache_key=None, prompt_cache_retention=None, safety_identifier=None, store=True, top_logprobs=0)",19,16
R_5d1ylp1nq98xRPb,"Response(id='resp_0e6a2be26ec3b9c800695f8460d338819f957255c4ea60a409', created_at=1767867488.0, error=None, incomplete_details=None, instructions=None, metadata={}, model='gpt-5-mini-2025-08-07', object='response', output=[ResponseReasoningItem(id='rs_0e6a2be26ec3b9c800695f84619e04819f8574ad1fd21f2c27', summary=[], type='reasoning', encrypted_content=None, status=None), ResponseOutputMessage(id='msg_0e6a2be26ec3b9c800695f8463c2a8819f982adaa8f2562f26', content=[ResponseOutputText(annotations=[], text='{""screen_time_hours"": 58, ""screen_time_minutes"": 49}', type='output_text', logprobs=[])], role='assistant', status='completed', type='message')], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, max_output_tokens=None, previous_response_id=None, reasoning=Reasoning(effort='medium', generate_summary=None, summary=None), service_tier='default', status='completed', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), truncation='disabled', usage=ResponseUsage(input_tokens=1898, input_tokens_details=InputTokensDetails(cached_tokens=0), output_tokens=150, output_tokens_details=OutputTokensDetails(reasoning_tokens=128), total_tokens=2048), user=None, billing={'payer': 'developer'}, completed_at=1767867492, max_tool_calls=None, prompt_cache_key=None, prompt_cache_retention=None, safety_identifier=None, store=True, top_logprobs=0)",58,49
R_8bPqo6zaS6KbK5H,"Response(id='resp_05429ed15ea397d800695f8461484c8194b94b0409ad4d9685', created_at=1767867489.0, error=None, incomplete_details=None, instructions=None, metadata={}, model='gpt-5-mini-2025-08-07', object='response', output=[ResponseReasoningItem(id='rs_05429ed15ea397d800695f84624c088194adb8ff3294ad635e', summary=[], type='reasoning', encrypted_content=None, status=None), ResponseOutputMessage(id='msg_05429ed15ea397d800695f8463f2b0819495088049d18abe75', content=[ResponseOutputText(annotations=[], text='{\n  ""screen_time_hours"": 29,\n  ""screen_time_minutes"": 23\n}', type='output_text', logprobs=[])], role='assistant', status='completed', type='message')], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, max_output_tokens=None, previous_response_id=None, reasoning=Reasoning(effort='medium', generate_summary=None, summary=None), service_tier='default', status='completed', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), truncation='disabled', usage=ResponseUsage(input_tokens=1862, input_tokens_details=InputTokensDetails(cached_tokens=0), output_tokens=154, output_tokens_details=OutputTokensDetails(reasoning_tokens=128), total_tokens=2016), user=None, billing={'payer': 'developer'}, completed_at=1767867492, max_tool_calls=None, prompt_cache_key=None, prompt_cache_retention=None, safety_identifier=None, store=True, top_logprobs=0)",29,23
R_2GWi0tTeh3GQyd4,"Response(id='resp_093629fd8ffad3ac00695f846083248191a27a0c8fb18e6cfa', created_at=1767867488.0, error=None, incomplete_details=None, instructions=None, metadata={}, model='gpt-5-mini-2025-08-07', object='response', output=[ResponseReasoningItem(id='rs_093629fd8ffad3ac00695f846170a0819186cebe428147ed96', summary=[], type='reasoning', encrypted_content=None, status=None), ResponseOutputMessage(id='msg_093629fd8ffad3ac00695f8464ea4c819190009e21bf77764e', content=[ResponseOutputText(annotations=[], text='{""screen_time_hours"": ""40"", ""screen_time_minutes"": ""38""}', type='output_text', logprobs=[])], role='assistant', status='completed', type='message')], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, max_output_tokens=None, previous_response_id=None, reasoning=Reasoning(effort='medium', generate_summary=None, summary=None), service_tier='default', status='completed', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), truncation='disabled', usage=ResponseUsage(input_tokens=1862, input_tokens_details=InputTokensDetails(cached_tokens=0), output_tokens=150, output_tokens_details=OutputTokensDetails(reasoning_tokens=128), total_tokens=2012), user=None, billing={'payer': 'developer'}, completed_at=1767867493, max_tool_calls=None, prompt_cache_key=None, prompt_cache_retention=None, safety_identifier=None, store=True, top_logprobs=0)",40,38
R_1iKYUk2Bq6XwK4I,"Response(id='resp_016725e51e75916c00695f84605ee481a3b318f4c152f635f4', created_at=1767867488.0, error=None, incomplete_details=None, instructions=None, metadata={}, model='gpt-5-mini-2025-08-07', object='response', output=[ResponseReasoningItem(id='rs_016725e51e75916c00695f8461564481a3ac576f1997b68b2d', summary=[], type='reasoning', encrypted_content=None, status=None), ResponseOutputMessage(id='msg_016725e51e75916c00695f846520c081a3a0113a23a80eed18', content=[ResponseOutputText(annotations=[], text='{""screen_time_hours"": 10, ""screen_time_minutes"": 7}', type='output_text', logprobs=[])], role='assistant', status='completed', type='message')], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, max_output_tokens=None, previous_response_id=None, reasoning=Reasoning(effort='medium', generate_summary=None, summary=None), service_tier='default', status='completed', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), truncation='disabled', usage=ResponseUsage(input_tokens=1831, input_tokens_details=InputTokensDetails(cached_tokens=0), output_tokens=150, output_tokens_details=OutputTokensDetails(reasoning_tokens=128), total_tokens=1981), user=None, billing={'payer': 'developer'}, completed_at=1767867493, max_tool_calls=None, prompt_cache_key=None, prompt_cache_retention=None, safety_identifier=None, store=True, top_logprobs=0)",10,7
R_2FDBaWoJwQn6aK5,"Response(id='resp_072f4c45b429f19d00695f8460fb64819681c6f7ee6a0e0097', created_at=1767867489.0, error=None, incomplete_details=None, instructions=None, metadata={}, model='gpt-5-mini-2025-08-07', object='response', output=[ResponseReasoningItem(id='rs_072f4c45b429f19d00695f8461bb948196ac5640a42c813f6c', summary=[], type='reasoning', encrypted_content=None, status=None), ResponseOutputMessage(id='msg_072f4c45b429f19d00695f84657a6c8196a6fccbb44e464f7c', content=[ResponseOutputText(annotations=[], text='{\n  ""screen_time_hours"": 6,\n  ""screen_time_minutes"": 44\n}', type='output_text', logprobs=[])], role='assistant', status='completed', type='message')], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, max_output_tokens=None, previous_response_id=None, reasoning=Reasoning(effort='medium', generate_summary=None, summary=None), service_tier='default', status='completed', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), truncation='disabled', usage=ResponseUsage(input_tokens=1831, input_tokens_details=InputTokensDetails(cached_tokens=0), output_tokens=282, output_tokens_details=OutputTokensDetails(reasoning_tokens=256), total_tokens=2113), user=None, billing={'payer': 'developer'}, completed_at=1767867493, max_tool_calls=None, prompt_cache_key=None, prompt_cache_retention=None, safety_identifier=None, store=True, top_logprobs=0)",6,44
R_8OrkM4E48xNQ8Wl,"Response(id='resp_06f987594b75821b00695f8464865481a283336d1a61734d36', created_at=1767867492.0, error=None, incomplete_details=None, instructions=None, metadata={}, model='gpt-5-mini-2025-08-07', object='response', output=[ResponseReasoningItem(id='rs_06f987594b75821b00695f8465544881a2bb401b4dd15b6255', summary=[], type='reasoning', encrypted_content=None, status=None), ResponseOutputMessage(id='msg_06f987594b75821b00695f8466d61481a2b495de17c4f61e21', content=[ResponseOutputText(annotations=[], text='{""screen_time_hours"": 35, ""screen_time_minutes"": 26}', type='output_text', logprobs=[])], role='assistant', status='completed', type='message')], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, max_output_tokens=None, previous_response_id=None, reasoning=Reasoning(effort='medium', generate_summary=None, summary=None), service_tier='default', status='completed', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), truncation='disabled', usage=ResponseUsage(input_tokens=1862, input_tokens_details=InputTokensDetails(cached_tokens=0), output_tokens=86, output_tokens_details=OutputTokensDetails(reasoning_tokens=64), total_tokens=1948), user=None, billing={'payer': 'developer'}, completed_at=1767867495, max_tool_calls=None, prompt_cache_key=None, prompt_cache_retention=None, safety_identifier=None, store=True, top_logprobs=0)",35,26
R_2axYQFV6LVakQqg,"Response(id='resp_04391aa3f2d6223500695f84654ad48196bfce0440110f0f07', created_at=1767867493.0, error=None, incomplete_details=None, instructions=None, metadata={}, model='gpt-5-mini-2025-08-07', object='response', output=[ResponseReasoningItem(id='rs_04391aa3f2d6223500695f84665bf4819682b4a7a9981e243f', summary=[], type='reasoning', encrypted_content=None, status=None), ResponseOutputMessage(id='msg_04391aa3f2d6223500695f8468dee481969f33dba3d124fc18', content=[ResponseOutputText(annotations=[], text='{""screen_time_hours"": 16, ""screen_time_minutes"": 22}', type='output_text', logprobs=[])], role='assistant', status='completed', type='message')], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, max_output_tokens=None, previous_response_id=None, reasoning=Reasoning(effort='medium', generate_summary=None, summary=None), service_tier='default', status='completed', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), truncation='disabled', usage=ResponseUsage(input_tokens=1862, input_tokens_details=InputTokensDetails(cached_tokens=0), output_tokens=150, output_tokens_details=OutputTokensDetails(reasoning_tokens=128), total_tokens=2012), user=None, billing={'payer': 'developer'}, completed_at=1767867497, max_tool_calls=None, prompt_cache_key=None, prompt_cache_retention=None, safety_identifier=None, store=True, top_logprobs=0)",16,22
R_5Dd8PRwtE9rXDhR,"Response(id='resp_057e541fac37b1ed00695f84667be8819fa787953e12064907', created_at=1767867494.0, error=None, incomplete_details=None, instructions=None, metadata={}, model='gpt-5-mini-2025-08-07', object='response', output=[ResponseReasoningItem(id='rs_057e541fac37b1ed00695f84670a50819fbf922780d477ca47', summary=[], type='reasoning', encrypted_content=None, status=None), ResponseOutputMessage(id='msg_057e541fac37b1ed00695f84691884819fa9343e46361f70fd', content=[ResponseOutputText(annotations=[], text='{""screen_time_hours"": 11, ""screen_time_minutes"": 48}', type='output_text', logprobs=[])], role='assistant', status='completed', type='message')], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, max_output_tokens=None, previous_response_id=None, reasoning=Reasoning(effort='medium', generate_summary=None, summary=None), service_tier='default', status='completed', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), truncation='disabled', usage=ResponseUsage(input_tokens=1831, input_tokens_details=InputTokensDetails(cached_tokens=0), output_tokens=150, output_tokens_details=OutputTokensDetails(reasoning_tokens=128), total_tokens=1981), user=None, billing={'payer': 'developer'}, completed_at=1767867497, max_tool_calls=None, prompt_cache_key=None, prompt_cache_retention=None, safety_identifier=None, store=True, top_logprobs=0)",11,48
R_5sbygBsaFEIitTi,"Response(id='resp_0026a82ea7597bdc00695f84678d9c819da9ff58d5644b54d4', created_at=1767867495.0, error=None, incomplete_details=None, instructions=None, metadata={}, model='gpt-5-mini-2025-08-07', object='response', output=[ResponseReasoningItem(id='rs_0026a82ea7597bdc00695f84680728819d9e79a45608d5b679', summary=[], type='reasoning', encrypted_content=None, status=None), ResponseOutputMessage(id='msg_0026a82ea7597bdc00695f8469aa6c819d82bf927ab7a05c34', content=[ResponseOutputText(annotations=[], text='{""screen_time_hours"":""7"",""screen_time_minutes"":""49""}', type='output_text', logprobs=[])], role='assistant', status='completed', type='message')], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, max_output_tokens=None, previous_response_id=None, reasoning=Reasoning(effort='medium', generate_summary=None, summary=None), service_tier='default', status='completed', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), truncation='disabled', usage=ResponseUsage(input_tokens=1092, input_tokens_details=InputTokensDetails(cached_tokens=0), output_tokens=147, output_tokens_details=OutputTokensDetails(reasoning_tokens=128), total_tokens=1239), user=None, billing={'payer': 'developer'}, completed_at=1767867498, max_tool_calls=None, prompt_cache_key=None, prompt_cache_retention=None, safety_identifier=None, store=True, top_logprobs=0)",7,49
R_54A8fBW7Y0U9dnB,"Response(id='resp_0502acaecfcc9dde00695f846532bc81a28116886f58561e4f', created_at=1767867493.0, error=None, incomplete_details=None, instructions=None, metadata={}, model='gpt-5-mini-2025-08-07', object='response', output=[ResponseReasoningItem(id='rs_0502acaecfcc9dde00695f84660e0481a2a557d1c024e3235e', summary=[], type='reasoning', encrypted_content=None, status=None), ResponseOutputMessage(id='msg_0502acaecfcc9dde00695f846b21bc81a29200b085710df751', content=[ResponseOutputText(annotations=[], text='{\n  ""screen_time_hours"": ""33"",\n  ""screen_time_minutes"": ""46""\n}', type='output_text', logprobs=[])], role='assistant', status='completed', type='message')], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, max_output_tokens=None, previous_response_id=None, reasoning=Reasoning(effort='medium', generate_summary=None, summary=None), service_tier='default', status='completed', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), truncation='disabled', usage=ResponseUsage(input_tokens=1862, input_tokens_details=InputTokensDetails(cached_tokens=0), output_tokens=346, output_tokens_details=OutputTokensDetails(reasoning_tokens=320), total_tokens=2208), user=None, billing={'payer': 'developer'}, completed_at=1767867499, max_tool_calls=None, prompt_cache_key=None, prompt_cache_retention=None, safety_identifier=None, store=True, top_logprobs=0)",33,46
R_29E3feLXZwVsQKJ,"Response(id='resp_0c66b84ad0af0fe200695f8466f18c819e9cde420071644807', created_at=1767867495.0, error=None, incomplete_details=None, instructions=None, metadata={}, model='gpt-5-mini-2025-08-07', object='response', output=[ResponseReasoningItem(id='rs_0c66b84ad0af0fe200695f8467da58819eb9c0bf0d5b84877f', summary=[], type='reasoning', encrypted_content=None, status=None), ResponseOutputMessage(id='msg_0c66b84ad0af0fe200695f846b656c819e8f56c4bc6f1fd13e', content=[ResponseOutputText(annotations=[], text='{""screen_time_hours"": 9, ""screen_time_minutes"": 7}', type='output_text', logprobs=[])], role='assistant', status='completed', type='message')], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, max_output_tokens=None, previous_response_id=None, reasoning=Reasoning(effort='medium', generate_summary=None, summary=None), service_tier='default', status='completed', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), truncation='disabled', usage=ResponseUsage(input_tokens=1862, input_tokens_details=InputTokensDetails(cached_tokens=0), output_tokens=278, output_tokens_details=OutputTokensDetails(reasoning_tokens=256), total_tokens=2140), user=None, billing={'payer': 'developer'}, completed_at=1767867499, max_tool_calls=None, prompt_cache_key=None, prompt_cache_retention=None, safety_identifier=None, store=True, top_logprobs=0)",9,7
R_8UKWEiEQuhDpzoJ,"Response(id='resp_05bf1faf843d0b1600695f846a770881938232e2622ca51265', created_at=1767867498.0, error=None, incomplete_details=None, instructions=None, metadata={}, model='gpt-5-mini-2025-08-07', object='response', output=[ResponseReasoningItem(id='rs_05bf1faf843d0b1600695f846b99948193a45e8f74f615d427', summary=[], type='reasoning', encrypted_content=None, status=None), ResponseOutputMessage(id='msg_05bf1faf843d0b1600695f846d191c819381b4e84f907733a1', content=[ResponseOutputText(annotations=[], text='{""screen_time_hours"":""15"",""screen_time_minutes"":""40""}', type='output_text', logprobs=[])], role='assistant', status='completed', type='message')], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, max_output_tokens=None, previous_response_id=None, reasoning=Reasoning(effort='medium', generate_summary=None, summary=None), service_tier='default', status='completed', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), truncation='disabled', usage=ResponseUsage(input_tokens=1862, input_tokens_details=InputTokensDetails(cached_tokens=0), output_tokens=83, output_tokens_details=OutputTokensDetails(reasoning_tokens=64), total_tokens=1945), user=None, billing={'payer': 'developer'}, completed_at=1767867501, max_tool_calls=None, prompt_cache_key=None, prompt_cache_retention=None, safety_identifier=None, store=True, top_logprobs=0)",15,40
